Subset,Recording,Sensor,NumberOfTimeGaps,MeanGap_ms,MedianGap_ms,StdGap_ms,MinGap_ms,MaxGap_ms,MeanOverMedianRatio
quasi_static,static_bend_x_n100,Mark-10 (dataMark10_+x.csv),10686,2.71385561186076,2.61378288269043,0.352057839887469,2.27713584899902,18.0659294128418,1.03828655005473
quasi_static,static_bend_x_n100,Mark-10 (dataMark10_+y.csv),11104,2.6082636987098,2.55393981933594,0.341716449394769,2.29787826538086,18.5530185699463,1.02127061842357
quasi_static,static_bend_x_n100,Mark-10 (dataMark10_-x.csv),9703,2.99548252604615,2.88200378417969,0.368600941280035,2.593994140625,18.7499523162842,1.03937494547696
quasi_static,static_bend_x_n100,Mark-10 (dataMark10_-y.csv),11141,2.61255729862929,2.52890586853027,0.328589704441223,2.29811668395996,18.4760093688965,1.03307811142359
quasi_static,static_bend_x_n150,ATI force/torque,5997,4.99984890853681,0.214099884033203,7.06069032964866,0.0569820404052734,16.042947769165,23.3528800406142
quasi_static,static_bend_x_n150,FBG shape sensor,2994,10.0193006162573,8.69154930114746,8.97198397793318,0.0209808349609375,56.78391456604,1.15276347968648
quasi_static,static_bend_x_n150,OptiTrack motion capture,3772,8.33333480396048,8.32176208496094,0.489634172717735,6.66069984436035,9.86289978027344,1.00139065727684
quasi_static,static_bend_x_n150,Motor encoders,4420,5.75929410856773,1.99389457702637,21.19651546625,1.75905227661133,139.84203338623,2.88846470366401
quasi_static,static_bend_x_n150,Mark-10 (dataMark10_+x.csv),10733,2.702131749399,2.61306762695312,0.342763073555752,2.24494934082031,17.7679061889648,1.03408412454664
quasi_static,static_bend_x_n150,Mark-10 (dataMark10_+y.csv),10915,2.65364618515455,2.58898735046387,0.344356957409013,2.30312347412109,17.8439617156982,1.02497456570388
quasi_static,static_bend_x_n150,Mark-10 (dataMark10_-x.csv),9663,3.00812336348185,2.89201736450195,0.369905090445909,2.60686874389648,18.2218551635742,1.04014706149591
quasi_static,static_bend_x_n150,Mark-10 (dataMark10_-y.csv),11130,2.6143340516069,2.52795219421387,0.328493620153832,2.30503082275391,17.564058303833,1.03417068471103
quasi_static,static_bend_x_n180,ATI force/torque,5998,5.00167473509694,0.213861465454102,7.05409007998556,0.0560283660888672,16.3309574127197,23.387451893106
quasi_static,static_bend_x_n180,FBG shape sensor,2999,10.0056182229149,8.61907005310059,8.98968175661599,0.0150203704833984,43.4319972991943,1.16086981092764
quasi_static,static_bend_x_n180,OptiTrack motion capture,3772,8.33339756897879,8.31317901611328,0.507716788723286,7.04598426818848,9.98210906982422,1.00243210844207
quasi_static,static_bend_x_n180,Motor encoders,5265,4.83904500745753,1.98507308959961,18.5254657435798,1.75786018371582,142.935991287231,2.43771629005034
quasi_static,static_bend_x_n180,Mark-10 (dataMark10_+x.csv),10599,2.73341135614739,2.6390552520752,0.355340132308607,2.24804878234863,18.1961059570312,1.03575374331325
quasi_static,static_bend_x_n180,Mark-10 (dataMark10_+y.csv),10757,2.68972184873707,2.60496139526367,0.342885541557303,2.31218338012695,17.8160667419434,1.03253808429849
quasi_static,static_bend_x_n180,Mark-10 (dataMark10_-x.csv),9684,2.99822821296084,2.88701057434082,0.371525092494014,2.54392623901367,18.8150405883789,1.03852346077583
quasi_static,static_bend_x_n180,Mark-10 (dataMark10_-y.csv),11106,2.61773115103468,2.53081321716309,0.329203372403504,2.31099128723145,17.4570083618164,1.03434387543187
quasi_static,static_bend_x_n200,ATI force/torque,5995,5.00171194482188,0.222921371459961,7.04741618273396,0.0588893890380859,16.1678791046143,22.4371127454697
quasi_static,static_bend_x_n200,FBG shape sensor,3001,10.0001170213363,9.22703742980957,8.77838299371184,0.0119209289550781,50.5430698394775,1.08378416121183
quasi_static,static_bend_x_n200,OptiTrack motion capture,3772,8.33554371543553,8.33892822265625,0.644117982299584,0.800848007202148,22.575855255127,0.999594131628147
quasi_static,static_bend_x_n200,Motor encoders,5805,4.40688441274086,1.98698043823242,17.0882506170284,1.73711776733398,139.419078826904,2.217880119978
quasi_static,static_bend_x_n200,Mark-10 (dataMark10_+x.csv),10786,2.69710838562612,2.61807441711426,0.315878436516145,2.3040771484375,5.1729679107666,1.03018782353749
quasi_static,static_bend_x_n200,Mark-10 (dataMark10_+y.csv),10760,2.70072926375946,2.61402130126953,0.306762232947003,2.45499610900879,5.10215759277344,1.03317033508786
quasi_static,static_bend_x_n200,Mark-10 (dataMark10_-x.csv),9681,3.01150915581091,2.90107727050781,0.338219566474965,2.54702568054199,5.52821159362793,1.03806582004062
quasi_static,static_bend_x_n200,Mark-10 (dataMark10_-y.csv),11145,2.61885329392417,2.53415107727051,0.294830585638811,2.31099128723145,4.92405891418457,1.03342429637025
quasi_static,static_bend_y_100,ATI force/torque,5995,5.00200532494832,0.237941741943359,7.03306253565955,0.0569820404052734,16.2708759307861,21.0219748922365
quasi_static,static_bend_y_100,FBG shape sensor,2997,10.0109900161748,8.69488716125488,8.87787424313135,0.0219345092773438,52.372932434082,1.15136514488476
quasi_static,static_bend_y_100,OptiTrack motion capture,3772,8.34461525161598,8.32009315490723,0.931368175953653,3.57913970947266,55.4993152618408,1.00294733439304
quasi_static,static_bend_y_100,Motor encoders,3036,8.53161661050065,2.00009346008301,27.629518368251,1.7850399017334,143.109083175659,4.26560897316597
quasi_static,static_bend_y_100,Mark-10 (dataMark10_+x.csv),10860,2.6982388663248,2.60806083679199,0.340372552487098,2.37512588500977,17.9598331451416,1.03457665874226
quasi_static,static_bend_y_100,Mark-10 (dataMark10_+y.csv),9948,2.94288066577183,2.84099578857422,0.359760887006053,2.52008438110352,18.0478096008301,1.0358623823405
quasi_static,static_bend_y_100,Mark-10 (dataMark10_-x.csv),11339,2.58957951753709,2.50411033630371,0.318195557063337,2.31504440307617,17.4860954284668,1.03413155562448
quasi_static,static_bend_y_100,Mark-10 (dataMark10_-y.csv),9906,2.96682221658923,2.91204452514648,0.37837537420227,2.28095054626465,18.2299613952637,1.01881073279262
quasi_static,static_bend_y_150,ATI force/torque,5995,5.00202636305146,0.30207633972168,6.92597371060284,0.057220458984375,16.1159038543701,16.5588154559212
quasi_static,static_bend_y_150,FBG shape sensor,3000,10.0038950443268,10.0929737091064,8.71688937178734,0.0288486480712891,42.5858497619629,0.991174190347956
quasi_static,static_bend_y_150,OptiTrack motion capture,3772,8.33337633126867,8.32343101501465,0.533512051466903,6.34336471557617,9.85050201416016,1.00119485777392
quasi_static,static_bend_y_150,Motor encoders,3038,8.50743381030627,2.74991989135742,25.8843354275803,1.90591812133789,143.216133117676,3.09370241549357
quasi_static,static_bend_y_150,Mark-10 (dataMark10_+x.csv),10459,2.80014072826344,2.69699096679688,0.363517236897133,2.36392021179199,18.5019969940186,1.03824623913705
quasi_static,static_bend_y_150,Mark-10 (dataMark10_+y.csv),9314,3.14131800852442,3.0970573425293,0.39171268516081,2.57205963134766,18.7549591064453,1.0142912000328
quasi_static,static_bend_y_150,Mark-10 (dataMark10_-x.csv),10834,2.70800738398915,2.59900093078613,0.34848003885192,2.30693817138672,17.6620483398438,1.04194167532293
quasi_static,static_bend_y_150,Mark-10 (dataMark10_-y.csv),9837,2.98577544043749,2.9759407043457,0.387527295922272,2.34889984130859,18.8078880310059,1.00330474867239
quasi_static,static_bend_y_180,ATI force/torque,5996,5.0020613934375,0.20289421081543,7.06375073947579,0.0569820404052734,16.1960124969482,24.6535441959348
quasi_static,static_bend_y_180,FBG shape sensor,2998,10.0112941918809,8.62491130828857,8.91252034861595,0.0169277191162109,46.3821887969971,1.16074169739693
quasi_static,static_bend_y_180,OptiTrack motion capture,3772,8.33322646635587,8.3165168762207,0.532706639901168,6.55889511108398,10.1428031921387,1.00200920534208
quasi_static,static_bend_y_180,Motor encoders,5319,4.84290977330288,1.99604034423828,18.4820309552202,1.75285339355469,139.948129653931,2.4262584607983
quasi_static,static_bend_y_180,Mark-10 (dataMark10_+x.csv),10944,2.67310087618075,2.59590148925781,0.309699136610751,2.30002403259277,5.07807731628418,1.02973895089717
quasi_static,static_bend_y_180,Mark-10 (dataMark10_+y.csv),9616,3.03866742752158,2.9599666595459,0.363857469343305,2.52389907836914,5.51700592041016,1.02658839677193
quasi_static,static_bend_y_180,Mark-10 (dataMark10_-x.csv),11318,2.58922370463046,2.5029182434082,0.285844459562955,2.33292579650879,5.17392158508301,1.03448193381848
quasi_static,static_bend_y_180,Mark-10 (dataMark10_-y.csv),10161,2.88734465599905,2.87604331970215,0.364047526505379,2.26402282714844,5.52082061767578,1.00392947359989
quasi_static,static_bend_y_200,ATI force/torque,5996,5.00212728062656,0.210046768188477,7.05853775806883,0.0581741333007812,16.2398815155029,23.8143501267209
quasi_static,static_bend_y_200,FBG shape sensor,2999,10.0060519714203,8.40187072753906,8.95460701814699,0.0240802764892578,53.9839267730713,1.19093143609353
quasi_static,static_bend_y_200,OptiTrack motion capture,3772,8.33320301638428,8.33010673522949,0.51033154665776,7.00259208679199,9.69290733337402,1.00037169765685
quasi_static,static_bend_y_200,Motor encoders,5920,4.32907922847851,1.99294090270996,16.7452249449265,1.74689292907715,129.26197052002,2.17220652282861
quasi_static,static_bend_y_200,Mark-10 (dataMark10_+x.csv),11266,2.58696261253066,2.51007080078125,0.303522552311238,2.30002403259277,5.05495071411133,1.03063332385902
quasi_static,static_bend_y_200,Mark-10 (dataMark10_+y.csv),9600,3.03285270929337,2.94709205627441,0.366454038919267,2.5479793548584,5.71084022521973,1.02910009303454
quasi_static,static_bend_y_200,Mark-10 (dataMark10_-x.csv),11298,2.58492625778936,2.50101089477539,0.287350088806547,2.31409072875977,4.91690635681152,1.03355257795528
quasi_static,static_bend_y_200,Mark-10 (dataMark10_-y.csv),10018,2.91819026499219,2.88808345794678,0.362511709132281,2.2280216217041,5.83720207214355,1.01042449343442
quasi_static,static_bend_y_n100,ATI force/torque,5997,5.0013523330803,0.314950942993164,6.92761117989082,0.0591278076171875,16.0901546478271,15.8797820560545
quasi_static,static_bend_y_n100,FBG shape sensor,3000,10.0071156024933,10.0734233856201,8.72821703485813,0.0209808349609375,48.7260818481445,0.993417552247284
quasi_static,static_bend_y_n100,OptiTrack motion capture,3772,8.33339674728167,8.32545757293701,0.518541182338254,6.61396980285645,9.93561744689941,1.00095360216242
quasi_static,static_bend_y_n100,Motor encoders,1881,13.6219840427462,3.25703620910645,34.6388041210075,1.9528865814209,142.15612411499,4.18232502440717
quasi_static,static_bend_y_n100,Mark-10 (dataMark10_+x.csv),10963,2.65987667736863,2.56109237670898,0.309507233504512,2.31504440307617,4.98199462890625,1.03857115875945
quasi_static,static_bend_y_n100,Mark-10 (dataMark10_+y.csv),10179,2.86166529042253,2.75492668151855,0.326352091488963,2.3491382598877,5.28287887573242,1.03874462780445
quasi_static,static_bend_y_n100,Mark-10 (dataMark10_-x.csv),10811,2.70243602283743,2.59804725646973,0.312031629630539,2.34198570251465,5.2490234375,1.04017970270085
quasi_static,static_bend_y_n100,Mark-10 (dataMark10_-y.csv),9478,3.08599324134815,3.01289558410645,0.29995457810045,2.65884399414062,5.61904907226562,1.02426159659409
quasi_static,static_bend_y_n150,ATI force/torque,5995,5.00240850886074,0.291824340820312,6.94172533039489,0.0600814819335938,16.0758495330811,17.1418480542064
quasi_static,static_bend_y_n150,FBG shape sensor,3000,10.0047796567281,9.73308086395264,8.71763134227231,0.03814697265625,37.9328727722168,1.0279149836083
quasi_static,static_bend_y_n150,OptiTrack motion capture,3772,8.33343321799221,8.32736492156982,0.520197383222466,5.84292411804199,10.3123188018799,1.00072871748501
quasi_static,static_bend_y_n150,Motor encoders,2637,9.72165869726211,3.40104103088379,27.6104560118417,1.80387496948242,142.905950546265,2.85843616968533
