time (us),x(mdps),y(mdps),z(mdps)
1765493935156304,376.25,-735,-113.75,
1765493935159620,463.75,-1023.75,-175,
1765493935163698,166.25,-1023.75,-26.25,
1765493935166319,183.75,-1207.5,-665,
1765493935169775,323.75,-691.25,-507.5,
1765493935172976,341.25,-1006.25,-385,
1765493935176343,306.25,-1583.75,-385,
1765493935180228,271.25,-1190,-323.75,
1765493935183052,647.5,-875,26.25,
1765493935186306,507.5,-822.5,-516.25,
1765493935189661,26.25,-927.5,-455,
1765493935192963,437.5,-796.25,-183.75,
1765493935197433,533.75,-761.25,-227.5,
1765493935199635,350,-796.25,-236.25,
1765493935202933,201.25,-525,-306.25,
1765493935206284,437.5,-971.25,-218.75,
1765493935209625,245,-927.5,52.5,
1765493935213537,175,-901.25,122.5,
1765493935216285,420,-1286.25,-306.25,
1765493935219677,621.25,-735,-236.25,
1765493935223163,350,-962.5,-253.75,
1765493935226259,350,-901.25,-455,
1765493935230337,437.5,-805,-61.25,
1765493935233121,323.75,-1006.25,-385,
1765493935236426,323.75,-1102.5,-280,
1765493935239677,446.25,-1032.5,-743.75,
1765493935243100,385,-910,-560,
1765493935247285,-131.25,-1093.75,-883.75,
1765493935249827,271.25,-1295,-770,
1765493935253127,350,-787.5,-656.25,
1765493935256495,848.75,-752.5,-420,
1765493935259831,131.25,-1085,-411.25,
1765493935263496,490,-962.5,-428.75,
1765493935266498,218.75,-813.75,-78.75,
1765493935269817,358.75,-980,8.75,
1765493935273169,166.25,-1006.25,-96.25,
1765493935276508,210,-796.25,-183.75,
1765493935280322,35,-971.25,-393.75,
1765493935283121,516.25,-866.25,-262.5,
1765493935286496,770,-962.5,-507.5,
1765493935289828,52.5,-673.75,-560,
1765493935293099,253.75,-822.5,-437.5,
1765493935297609,437.5,-1085,-586.25,
1765493935300041,140,-927.5,-778.75,
1765493935303163,113.75,-927.5,-752.5,
1765493935307054,201.25,-805,-875,
1765493935309703,192.5,-857.5,-463.75,
1765493935313875,393.75,-1041.25,-516.25,
1765493935316537,446.25,-796.25,-568.75,
1765493935319758,577.5,-962.5,-393.75,
1765493935323452,385,-761.25,-358.75,
1765493935326475,673.75,-918.75,-43.75,
1765493935330377,455,-936.25,-218.75,
1765493935333171,577.5,-857.5,-280,
1765493935336474,297.5,-1085,-350,
1765493935339969,96.25,-875,-8.75,
1765493935343151,665,-980,-61.25,
1765493935347001,376.25,-848.75,-507.5,
1765493935349802,455,-1076.25,-113.75,
1765493935353134,393.75,-682.5,-472.5,
1765493935356500,691.25,-936.25,17.5,
1765493935359803,393.75,-945,-262.5,
1765493935363540,691.25,-1015,-446.25,
1765493935366451,288.75,-787.5,-577.5,
1765493935370037,306.25,-953.75,-481.25,
1765493935373121,297.5,-726.25,-358.75,
1765493935376451,656.25,-918.75,-183.75,
1765493935380543,525,-1006.25,-560,
1765493935383109,367.5,-796.25,-332.5,
1765493935386404,490,-726.25,-218.75,
1765493935389977,358.75,-910,-131.25,
1765493935393163,481.25,-1155,-113.75,
1765493935396983,385,-840,131.25,
1765493935399997,175,-770,-96.25,
1765493935411883,393.75,-1242.5,-315,
1765493935416705,481.25,-1111.25,-420,
1765493935423228,507.5,-673.75,-350,
1765493935432007,166.25,-787.5,-603.75,
1765493935459521,385,-953.75,-332.5,
1765493935465162,647.5,-901.25,-131.25,
1765493935466602,166.25,-691.25,-498.75,
1765493935470333,341.25,-1006.25,-210,
1765493935473549,157.5,-1015,-262.5,
1765493935476693,-245,-726.25,-481.25,
1765493935480652,271.25,-997.5,-245,
1765493935483528,490,-971.25,-595,
1765493935486567,236.25,-726.25,-148.75,
1765493935489871,175,-551.25,-297.5,
1765493935493879,245,-936.25,-481.25,
1765493935496996,428.75,-805,-577.5,
1765493935499871,262.5,-1032.5,-647.5,
1765493935503332,507.5,-682.5,-70,
1765493935506537,533.75,-735,-236.25,
1765493935510328,507.5,-840,-560,
1765493935514038,533.75,-1137.5,-323.75,
1765493935516537,568.75,-665,-376.25,
1765493935519832,315,-866.25,-595,
1765493935523286,271.25,-866.25,-507.5,
1765493935526875,621.25,-1032.5,-516.25,
1765493935530845,245,-1155,-218.75,
1765493935533537,183.75,-708.75,-498.75,
1765493935536662,490,-1225,-323.75,
1765493935540371,306.25,-988.75,-306.25,
1765493935549340,306.25,-883.75,-735,
1765493935552703,358.75,-1076.25,-498.75,
1765493935556403,350,-577.5,-551.25,
1765493935559328,463.75,-761.25,-271.25,
1765493935563712,218.75,-726.25,-560,
1765493935566784,315,-822.5,-533.75,
1765493935569326,113.75,-805,-210,
1765493935573233,280,-953.75,-87.5,
1765493935576126,218.75,-1050,-367.5,
1765493935579702,463.75,-831.25,-315,
1765493935582663,455,-542.5,-332.5,
1765493935586730,542.5,-936.25,-262.5,
1765493935589559,227.5,-927.5,-420,
1765493935592685,428.75,-1015,-411.25,
1765493935596049,201.25,-866.25,-358.75,
1765493935599336,262.5,-997.5,-376.25,
1765493935602628,262.5,-1111.25,-551.25,
1765493935606163,385,-1128.75,-778.75,
1765493935609286,332.5,-1041.25,-717.5,
1765493935613103,411.25,-892.5,-428.75,
1765493935616015,315,-717.5,-481.25,
1765493935619372,411.25,-901.25,-385,
1765493935622664,603.75,-953.75,-271.25,
1765493935626038,376.25,-630,-428.75,
1765493935629375,218.75,-1120,-227.5,
1765493935633163,402.5,-848.75,-43.75,
1765493935635997,411.25,-708.75,-245,
1765493935639453,288.75,-822.5,17.5,
1765493935642706,866.25,-1032.5,35,
1765493935646730,297.5,-796.25,-131.25,
1765493935649372,481.25,-936.25,-393.75,
1765493935652705,603.75,-805,-96.25,
1765493935656188,490,-892.5,-201.25,
1765493935659286,595,-918.75,-533.75,
1765493935662682,218.75,-831.25,-61.25,
1765493935666038,315,-682.5,-166.25,
1765493935669329,236.25,-656.25,-402.5,
1765493935672703,437.5,-752.5,-358.75,
1765493935676011,192.5,-997.5,-516.25,
1765493935680540,577.5,-638.75,-656.25,
1765493935682704,148.75,-1023.75,-271.25,
1765493935686038,105,-918.75,-385,
1765493935689320,542.5,-988.75,-411.25,
1765493935692704,280,-997.5,-603.75,
1765493935696625,253.75,-1006.25,-516.25,
1765493935699330,420,-1172.5,-280,
1765493935702693,533.75,-796.25,-52.5,
1765493935705971,507.5,-892.5,245,
1765493935709352,735,-752.5,-105,
1765493935712982,271.25,-962.5,131.25,
1765493935715998,621.25,-936.25,-236.25,
1765493935719454,218.75,-892.5,-253.75,
1765493935722623,140,-831.25,-166.25,
1765493935726332,350,-875,-481.25,
1765493935729625,245,-1093.75,-393.75,
1765493935732705,376.25,-1041.25,-437.5,
1765493935735997,875,-743.75,-463.75,
1765493935739330,516.25,-778.75,-533.75,
1765493935742837,280,-778.75,-542.5,
1765493935746264,682.5,-988.75,-621.25,
1765493935749320,568.75,-472.5,-236.25,
1765493935752704,297.5,-813.75,-332.5,
1765493935755997,-78.75,-945,-96.25,
1765493935759330,227.5,-901.25,-113.75,
1765493935762949,35,-778.75,-280,
1765493935766038,288.75,-1041.25,-288.75,
1765493935769277,420,-1128.75,-175,
1765493935772851,-43.75,-787.5,-315,
1765493935780263,26.25,-1295,-323.75,
1765493935788373,446.25,-1295,-586.25,
1765493935790403,420,-822.5,-280,
1765493935794229,498.75,-560,-621.25,
1765493935797968,595,-910,-437.5,
1765493935801229,358.75,-805,-621.25,
1765493935803436,70,-962.5,-595,
1765493935816778,350,-848.75,-420,
1765493935818229,481.25,-875,-516.25,
1765493935821628,498.75,-761.25,-446.25,
1765493935824829,446.25,-612.5,-568.75,
1765493935828164,157.5,-586.25,-437.5,
1765493935831428,603.75,-901.25,-183.75,
1765493935835052,253.75,-700,-192.5,
1765493935838136,577.5,-857.5,61.25,
1765493935841402,455,-945,-175,
1765493935844830,105,-770,-463.75,
1765493935848164,323.75,-813.75,-656.25,
1765493935851476,603.75,-761.25,-577.5,
1765493935854830,140,-962.5,-481.25,
1765493935858165,516.25,-813.75,-525,
1765493935861539,271.25,-586.25,-455,
1765493935864780,568.75,-883.75,-962.5,
1765493935868137,350,-630,-420,
1765493935871476,577.5,-1032.5,-350,
1765493935874789,315,-805,-227.5,
1765493935878321,131.25,-1015,-402.5,
1765493935884541,848.75,-875,-560,
1765493935885873,428.75,-945,-323.75,
1765493935889181,533.75,-612.5,-262.5,
1765493935892512,323.75,-1015,-140,
1765493935895984,175,-822.5,-148.75,
1765493935899500,-35,-525,-437.5,
1765493935903043,306.25,-875,-218.75,
1765493935906043,621.25,-962.5,-288.75,
1765493935909164,428.75,-840,-262.5,
1765493935913360,507.5,-796.25,-402.5,
1765493935915873,105,-901.25,-525,
1765493935919229,131.25,-822.5,-332.5,
1765493935922512,428.75,-743.75,-341.25,
1765493935925831,227.5,-621.25,-210,
1765493935929447,271.25,-1093.75,-280,
1765493935932533,131.25,-770,-315,
1765493935935924,612.5,-778.75,-227.5,
1765493935939230,306.25,-1058.75,-262.5,
1765493935942542,376.25,-831.25,-227.5,
1765493935946045,428.75,-647.5,-236.25,
1765493935949226,446.25,-822.5,-148.75,
1765493935952569,533.75,-945,-105,
1765493935955873,175,-1023.75,-297.5,
1765493935959680,271.25,-866.25,-323.75,
1765493935962520,498.75,-507.5,-288.75,
1765493935965846,341.25,-901.25,-385,
1765493935969229,393.75,-936.25,-638.75,
1765493935972539,507.5,-875,-455,
1765493935976001,183.75,-910,-542.5,
1765493935979293,481.25,-927.5,-822.5,
1765493935982505,192.5,-883.75,-420,
1765493935985877,166.25,-813.75,-516.25,
1765493935989287,402.5,-761.25,-113.75,
1765493935992539,498.75,-822.5,-376.25,
1765493935995910,350,-1006.25,-280,
1765493935999321,8.75,-971.25,-376.25,
1765493936003126,367.5,-805,-52.5,
1765493936005853,498.75,-708.75,-70,
1765493936009219,472.5,-918.75,-157.5,
1765493936012790,542.5,-708.75,-17.5,
1765493936015915,332.5,-1163.75,105,
1765493936019170,306.25,-761.25,-122.5,
1765493936022541,271.25,-927.5,-140,
1765493936026012,236.25,-953.75,-560,
1765493936029232,-105,-848.75,-262.5,
1765493936032502,411.25,-988.75,-647.5,
1765493936036232,245,-516.25,-568.75,
1765493936039403,446.25,-717.5,-455,
1765493936042572,332.5,-735,-735,
1765493936045874,280,-901.25,-542.5,
1765493936049229,411.25,-857.5,-586.25,
1765493936053455,533.75,-857.5,-446.25,
1765493936055846,306.25,-848.75,-525,
1765493936059150,455,-945,-446.25,
1765493936062894,192.5,-1085,-630,
1765493936066040,332.5,-726.25,-411.25,
1765493936069180,227.5,-1198.75,-446.25,
1765493936072539,393.75,-980,-455,
1765493936075805,140,-1190,-271.25,
1765493936079231,472.5,-883.75,-577.5,
1765493936082446,568.75,-673.75,-236.25,
1765493936085874,551.25,-1023.75,-323.75,
1765493936089185,463.75,-840,-280,
1765493936092498,332.5,-1015,-306.25,
1765493936095929,411.25,-997.5,-253.75,
1765493936099625,385,-770,-358.75,
1765493936102539,533.75,-997.5,-253.75,
1765493936105852,148.75,-962.5,-525,
1765493936109259,437.5,-778.75,-621.25,
1765493936112547,52.5,-813.75,-752.5,
1765493936116040,148.75,-962.5,-586.25,
1765493936119166,507.5,-673.75,-210,
1765493936123124,752.5,-796.25,-411.25,
1765493936125812,428.75,-682.5,-385,
1765493936129167,70,-551.25,-420,
1765493936132916,332.5,-997.5,-280,
1765493936135874,533.75,-743.75,-560,
1765493936139453,393.75,-892.5,-297.5,
1765493936142514,612.5,-1120,-350,
1765493936146015,271.25,-971.25,-490,
1765493936149237,323.75,-910,-638.75,
1765493936152539,323.75,-1058.75,-507.5,
1765493936155847,315,-743.75,-656.25,
1765493936159164,192.5,-1102.5,-638.75,
1765493936162509,192.5,-708.75,-437.5,
1765493936165852,8.75,-1041.25,-323.75,
1765493936169231,551.25,-901.25,-367.5,
1765493936172541,778.75,-997.5,-341.25,
1765493936175856,262.5,-813.75,-385,
1765493936179208,175,-796.25,-385,
1765493936182624,376.25,-735,-183.75,
1765493936185852,341.25,-927.5,-43.75,
1765493936189230,323.75,-1023.75,-175,
1765493936192707,113.75,-1128.75,70,
1765493936195879,551.25,-647.5,-358.75,
1765493936199230,437.5,-735,-288.75,
1765493936202572,437.5,-980,-288.75,
1765493936205826,402.5,-1330,-341.25,
1765493936209230,253.75,-918.75,-437.5,
1765493936212540,271.25,-892.5,-411.25,
1765493936215878,586.25,-892.5,-621.25,
1765493936219322,603.75,-840,-507.5,
1765493936222604,446.25,-883.75,-271.25,
1765493936226233,-105,-1067.5,-376.25,
1765493936229191,227.5,-953.75,-385,
1765493936232665,603.75,-1155,-595,
1765493936235873,218.75,-1050,-227.5,
1765493936239790,236.25,-822.5,-463.75,
1765493936242540,315,-778.75,-61.25,
1765493936246097,621.25,-936.25,-201.25,
1765493936249156,105,-516.25,-218.75,
1765493936252570,472.5,-1015,35,
1765493936256409,743.75,-656.25,52.5,
1765493936259232,367.5,-1190,-192.5,
1765493936262517,726.25,-988.75,-166.25,
1765493936267042,560,-630,-245,
1765493936269232,271.25,-866.25,-420,
1765493936272516,630,-988.75,-385,
1765493936276056,332.5,-980,-700,
1765493936279228,542.5,-840,-358.75,
1765493936282592,350,-708.75,-271.25,
1765493936285874,376.25,-997.5,-560,
1765493936289264,262.5,-752.5,-516.25,
1765493936292540,350,-1006.25,-516.25,
1765493936295874,393.75,-1032.5,-393.75,
1765493936299231,52.5,-560,-218.75,
1765493936302540,26.25,-1023.75,-35,
1765493936305852,210,-1102.5,-183.75,
1765493936309165,350,-752.5,-201.25,
1765493936312570,218.75,-840,-17.5,
1765493936316331,376.25,-971.25,-96.25,
1765493936319230,437.5,-682.5,-350,
1765493936322503,183.75,-665,-280,
1765493936325874,647.5,-708.75,-306.25,
1765493936329275,402.5,-901.25,-367.5,
1765493936332790,201.25,-875,-280,
1765493936335878,516.25,-1067.5,-402.5,
1765493936339126,-61.25,-805,-472.5,
1765493936342540,533.75,-892.5,-315,
1765493936345878,708.75,-1023.75,-455,
1765493936349230,280,-857.5,-770,
1765493936352499,525,-1023.75,-586.25,
1765493936355919,315,-787.5,-673.75,
1765493936359125,236.25,-953.75,-577.5,
1765493936362458,367.5,-735,-560,
1765493936366454,236.25,-507.5,-726.25,
1765493936369684,542.5,-796.25,-358.75,
1765493936372540,490,-901.25,-472.5,
1765493936376322,17.5,-822.5,-297.5,
1765493936379800,236.25,-892.5,-288.75,
1765493936382810,630,-682.5,-411.25,
1765493936385999,61.25,-743.75,-358.75,
1765493936389188,577.5,-927.5,-253.75,
1765493936392503,218.75,-953.75,-70,
1765493936396407,262.5,-1155,-542.5,
1765493936399230,175,-875,-411.25,
1765493936402542,498.75,-673.75,-656.25,
1765493936405878,105,-717.5,-542.5,
1765493936409232,306.25,-936.25,-385,
1765493936412598,315,-691.25,-770,
1765493936415874,568.75,-848.75,-560,
1765493936419237,463.75,-673.75,-481.25,
1765493936422540,551.25,-612.5,-490,
1765493936425875,875,-1233.75,-455,
1765493936429375,402.5,-857.5,-367.5,
1765493936432540,463.75,-988.75,-420,
1765493936435874,87.5,-840,-315,
1765493936439230,262.5,-927.5,-385,
1765493936442571,245,-848.75,-542.5,
1765493936445988,245,-691.25,-402.5,
1765493936449230,0,-910,-122.5,
1765493936452648,673.75,-918.75,-402.5,
1765493936455876,183.75,-831.25,-297.5,
1765493936459183,315,-822.5,-455,
1765493936462558,280,-717.5,-280,
1765493936465875,218.75,-910,-358.75,
1765493936469230,271.25,-822.5,-437.5,
1765493936473052,805,-892.5,-306.25,
1765493936476122,446.25,-892.5,-157.5,
1765493936479228,315,-945,-113.75,
1765493936483014,533.75,-953.75,17.5,
1765493936485958,551.25,-953.75,-175,
1765493936489231,253.75,-743.75,-157.5,
1765493936492848,437.5,-805,-306.25,
1765493936495874,516.25,-761.25,-341.25,
1765493936499230,428.75,-770,-236.25,
1765493936502540,201.25,-953.75,-315,
1765493936506000,183.75,-612.5,-218.75,
1765493936509188,166.25,-875,-227.5,
1765493936512541,385,-927.5,-411.25,
1765493936515875,656.25,-761.25,-472.5,
1765493936519263,542.5,-962.5,-472.5,
1765493936536236,183.75,-560,0,
1765493936546179,315,-892.5,-253.75,
1765493936561246,210,-857.5,-481.25,
1765493936564670,507.5,-735,-341.25,
1765493936579597,297.5,-1155,-647.5,
1765493936585933,350,-953.75,-157.5,
1765493936587831,183.75,-1023.75,-630,
1765493936591129,560,-796.25,-603.75,
1765493936594314,367.5,-778.75,-560,
1765493936598196,490,-1050,-603.75,
1765493936601350,350,-1041.25,-463.75,
1765493936604004,463.75,-1006.25,-227.5,
1765493936607849,656.25,-866.25,-218.75,
1765493936611083,61.25,-1172.5,-253.75,
1765493936615041,350,-822.5,-420,
1765493936617332,481.25,-1032.5,-210,
1765493936620666,131.25,-1041.25,-463.75,
1765493936623978,560,-805,-323.75,
1765493936627338,227.5,-1032.5,-131.25,
1765493936630809,603.75,-857.5,-78.75,
1765493936634014,262.5,-866.25,-218.75,
1765493936637375,551.25,-638.75,-297.5,
1765493936640625,472.5,-883.75,-568.75,
1765493936644005,647.5,-621.25,-490,
1765493936647266,376.25,-980,-542.5,
1765493936650635,437.5,-892.5,-402.5,
1765493936653978,490,-770,-315,
1765493936657289,393.75,-1076.25,-778.75,
1765493936660666,700,-1067.5,-673.75,
1765493936663880,-70,-971.25,-621.25,
1765493936667377,630,-892.5,-542.5,
1765493936670625,656.25,-875,-673.75,
1765493936674000,490,-1032.5,-227.5,
1765493936677960,568.75,-1041.25,-332.5,
1765493936680714,656.25,-813.75,-140,
1765493936684000,411.25,-1155,-245,
1765493936687332,367.5,-656.25,-148.75,
1765493936690841,595,-656.25,-402.5,
1765493936694041,428.75,-1058.75,-323.75,
1765493936697323,455,-1181.25,78.75,
1765493936700707,201.25,-1277.5,-192.5,
1765493936704000,411.25,-656.25,-131.25,
