timestamp,home_angle_rad,angle_deg,velocity
1761603175.18024,-0.00953688868543523,-0.5464234713615213,-0.7530327306019693
1761603175.1805115,-0.00953688868543523,-0.5464234713615213,-0.8574044403753724
1761603175.1807976,-0.009918364232852639,-0.5682804102159764,-0.8711375600823992
1761603175.181012,-0.009918364232852639,-0.5682804102159764,-0.8436713206683457
1761603175.1812859,-0.010299839780270048,-0.5901373490704316,-0.8390936140993368
1761603175.1815212,-0.010681315327687457,-0.6119942879249152,-0.8290226596475172
1761603175.1817958,-0.010681315327687457,-0.6119942879249152,-0.8262760357061119
1761603175.1820118,-0.011062790875104866,-0.6338512267793703,-0.8427557793545439
1761603175.1823285,-0.011444266422522276,-0.6557081656338255,-0.9141680018310829
1761603175.1825707,-0.011444266422522276,-0.6557081656338255,-0.9269855802243079
